date	购票难	钓鱼岛	城管打人系列事件	乔布斯逝世	温州动车事故	两会	空气污染	日本地震	郭美美	伦敦奥运会
201012	13899	4649	21802	12805	357	1270	3326	1075	351	429
201101	78140	2048	21462	12843	332	16350	1917	371	66	335
201102	28730	5286	16971	24864	259	24252	4785	5045	57	355
201103	16315	9335	29200	96273	932	185834	5274	828401	101	3957
201104	12279	3478	38990	31409	1394	8075	3900	115656	57	622
201105	17090	4565	201969	27478	2841	9789	5655	29636	132	3991
201106	48002	12787	165138	60802	3359	10185	4947	31389	433635	6867
201107	925067	12662	96296	35881	1249344	6112	3918	47535	235894	3030
201108	298463	6255	112868	207981	202136	2760	5968	19339	206342	5152
201109	91718	6487	78124	68483	78479	3919	8007	12228	70732	7645
201110	35543	6502	87339	977681	34173	4276	29179	14133	18003	10281
201111	47008	5734	110647	156582	29952	12883	75010	15797	35565	8381
201112	151339	7370	74746	97220	73834	11411	120456	26577	41822	3925
201201	352721	19841	52194	72858	13933	78458	60574	21341	27614	6401
201202	52868	33700	70637	87624	6777	74025	35623	23057	17485	12331
201203	45771	24602	74956	79620	14782	657655	54023	65381	9157	11237
201204	39710	41903	75391	65950	7249	20114	36347	40453	8514	22021
201205	49986	36841	106396	65241	12159	11756	49163	15944	8864	19544
201206	48615	43550	106610	45570	9897	7346	100606	16342	20617	29230
201207	76408	105633	137182	37120	57432	6277	29591	13736	18944	368386
201208	47343	520057	187098	53360	9692	9704	19611	15746	5506	639554
201209	161294	1676883	126365	63089	6862	10478	18830	27346	4374	14024
201210	48455	225818	85287	72989	6843	6060	23378	9366	5369	6494
201211	41578	62316	53212	37601	4960	11130	19426	11431	3857	4334
201212	95780	81143	73468	47157	7866	15031	22756	58704	4578	5612
201301	246088	93757	51947	34859	8359	74617	248089	3159	4926	2608
201302	47679	57498	26966	19837	3318	39499	122556	6890	3432	1943
201303	104577	26006	139035	30311	16609	333698	113666	7736	3138	1026
201304	21490	30263	42619	23743	7077	12514	45153	49969	84951	970
201305	16435	35434	44622	49086	3428	6608	29569	3710	25848	1031
201306	30332	23028	218408	25010	3132	5504	30153	2520	23711	592
201307	29136	19390	291762	14904	7443	3143	27419	4834	21538	3191
201308	21567	26459	85090	23944	8092	3026	16350	5378	8316	1669
201309	31982	10466	75232	33871	1406	2211	17303	5863	1472	604
201310	12371	8168	39360	22167	1979	1729	52285	2705	1456	459
201311	9148	13903	23131	11126	3383	2479	41540	2115	880	474
201312	41603	8787	24376	8266	2795	2859	106827	1308	1011	601
201401	61502	13446	11741	8605	1156	20483	38909	1761	907	354
201402	6038	3977	8874	5713	1115	16149	38811	1295	567	539
